trial,Condition,phase_name,familiarity,num_objs,line
1,C1,label_request,novel,1,0
1,C1,request_slide,novel,1,1
1,C1,slide_touch,novel,1,2
1,C1,touch_response,novel,1,3
2,C1,label_request,novel,2,4
2,C1,request_slide,novel,2,5
2,C1,slide_touch,novel,2,6
2,C1,touch_response,novel,2,7
3,C1,label_request,familiar,1,8
3,C1,request_slide,familiar,1,9
3,C1,slide_touch,familiar,1,10
3,C1,touch_response,familiar,1,11
4,C1,label_request,familiar,2,12
4,C1,request_slide,familiar,2,13
4,C1,slide_touch,familiar,2,14
4,C1,touch_response,familiar,2,15
5,C1,label_request,novel,1,16
5,C1,request_slide,novel,1,17
5,C1,slide_touch,novel,1,18
5,C1,touch_response,novel,1,19
6,C1,label_request,novel,2,20
6,C1,request_slide,novel,2,21
6,C1,slide_touch,novel,2,22
6,C1,touch_response,novel,2,23
7,C1,label_request,familiar,1,24
7,C1,request_slide,familiar,1,25
7,C1,slide_touch,familiar,1,26
7,C1,touch_response,familiar,1,27
8,C1,label_request,familiar,2,28
8,C1,request_slide,familiar,2,29
8,C1,slide_touch,familiar,2,30
8,C1,touch_response,familiar,2,31
9,C1,label_request,novel,1,32
9,C1,request_slide,novel,1,33
9,C1,slide_touch,novel,1,34
9,C1,touch_response,novel,1,35
10,C1,label_request,novel,2,36
10,C1,request_slide,novel,2,37
10,C1,slide_touch,novel,2,38
10,C1,touch_response,novel,2,39
11,C1,label_request,familiar,1,40
11,C1,request_slide,familiar,1,41
11,C1,slide_touch,familiar,1,42
11,C1,touch_response,familiar,1,43
12,C1,label_request,familiar,2,44
12,C1,request_slide,familiar,2,45
12,C1,slide_touch,familiar,2,46
12,C1,touch_response,familiar,2,47
1,C2,label_request,novel,1,0
1,C2,request_slide,novel,1,1
1,C2,slide_touch,novel,1,2
1,C2,touch_response,novel,1,3
2,C2,label_request,novel,2,4
2,C2,request_slide,novel,2,5
2,C2,slide_touch,novel,2,6
2,C2,touch_response,novel,2,7
3,C2,label_request,familiar,1,8
3,C2,request_slide,familiar,1,9
3,C2,slide_touch,familiar,1,10
3,C2,touch_response,familiar,1,11
4,C2,label_request,familiar,2,12
4,C2,request_slide,familiar,2,13
4,C2,slide_touch,familiar,2,14
4,C2,touch_response,familiar,2,15
5,C2,label_request,novel,1,16
5,C2,request_slide,novel,1,17
5,C2,slide_touch,novel,1,18
5,C2,touch_response,novel,1,19
6,C2,label_request,novel,2,20
6,C2,request_slide,novel,2,21
6,C2,slide_touch,novel,2,22
6,C2,touch_response,novel,2,23
7,C2,label_request,familiar,1,24
7,C2,request_slide,familiar,1,25
7,C2,slide_touch,familiar,1,26
7,C2,touch_response,familiar,1,27
8,C2,label_request,familiar,2,28
8,C2,request_slide,familiar,2,29
8,C2,slide_touch,familiar,2,30
8,C2,touch_response,familiar,2,31
9,C2,label_request,novel,1,32
9,C2,request_slide,novel,1,33
9,C2,slide_touch,novel,1,34
9,C2,touch_response,novel,1,35
10,C2,label_request,novel,2,36
10,C2,request_slide,novel,2,37
10,C2,slide_touch,novel,2,38
10,C2,touch_response,novel,2,39
11,C2,label_request,familiar,1,40
11,C2,request_slide,familiar,1,41
11,C2,slide_touch,familiar,1,42
11,C2,touch_response,familiar,1,43
12,C2,label_request,familiar,2,44
12,C2,request_slide,familiar,2,45
12,C2,slide_touch,familiar,2,46
12,C2,touch_response,familiar,2,47
1,C3,label_request,familiar,1,0
1,C3,request_slide,familiar,1,1
1,C3,slide_touch,familiar,1,2
1,C3,touch_response,familiar,1,3
2,C3,label_request,familiar,2,4
2,C3,request_slide,familiar,2,5
2,C3,slide_touch,familiar,2,6
2,C3,touch_response,familiar,2,7
3,C3,label_request,novel,1,8
3,C3,request_slide,novel,1,9
3,C3,slide_touch,novel,1,10
3,C3,touch_response,novel,1,11
4,C3,label_request,novel,2,12
4,C3,request_slide,novel,2,13
4,C3,slide_touch,novel,2,14
4,C3,touch_response,novel,2,15
5,C3,label_request,familiar,1,16
5,C3,request_slide,familiar,1,17
5,C3,slide_touch,familiar,1,18
5,C3,touch_response,familiar,1,19
6,C3,label_request,familiar,2,20
6,C3,request_slide,familiar,2,21
6,C3,slide_touch,familiar,2,22
6,C3,touch_response,familiar,2,23
7,C3,label_request,novel,1,24
7,C3,request_slide,novel,1,25
7,C3,slide_touch,novel,1,26
7,C3,touch_response,novel,1,27
8,C3,label_request,novel,2,28
8,C3,request_slide,novel,2,29
8,C3,slide_touch,novel,2,30
8,C3,touch_response,novel,2,31
9,C3,label_request,familiar,1,32
9,C3,request_slide,familiar,1,33
9,C3,slide_touch,familiar,1,34
9,C3,touch_response,familiar,1,35
10,C3,label_request,familiar,2,36
10,C3,request_slide,familiar,2,37
10,C3,slide_touch,familiar,2,38
10,C3,touch_response,familiar,2,39
11,C3,label_request,novel,1,40
11,C3,request_slide,novel,1,41
11,C3,slide_touch,novel,1,42
11,C3,touch_response,novel,1,43
12,C3,label_request,novel,2,44
12,C3,request_slide,novel,2,45
12,C3,slide_touch,novel,2,46
12,C3,touch_response,novel,2,47
1,C4,label_request,familiar,1,0
1,C4,request_slide,familiar,1,1
1,C4,slide_touch,familiar,1,2
1,C4,touch_response,familiar,1,3
2,C4,label_request,familiar,2,4
2,C4,request_slide,familiar,2,5
2,C4,slide_touch,familiar,2,6
2,C4,touch_response,familiar,2,7
3,C4,label_request,novel,1,8
3,C4,request_slide,novel,1,9
3,C4,slide_touch,novel,1,10
3,C4,touch_response,novel,1,11
4,C4,label_request,novel,2,12
4,C4,request_slide,novel,2,13
4,C4,slide_touch,novel,2,14
4,C4,touch_response,novel,2,15
5,C4,label_request,familiar,1,16
5,C4,request_slide,familiar,1,17
5,C4,slide_touch,familiar,1,18
5,C4,touch_response,familiar,1,19
6,C4,label_request,familiar,2,20
6,C4,request_slide,familiar,2,21
6,C4,slide_touch,familiar,2,22
6,C4,touch_response,familiar,2,23
7,C4,label_request,novel,1,24
7,C4,request_slide,novel,1,25
7,C4,slide_touch,novel,1,26
7,C4,touch_response,novel,1,27
8,C4,label_request,novel,2,28
8,C4,request_slide,novel,2,29
8,C4,slide_touch,novel,2,30
8,C4,touch_response,novel,2,31
9,C4,label_request,familiar,1,32
9,C4,request_slide,familiar,1,33
9,C4,slide_touch,familiar,1,34
9,C4,touch_response,familiar,1,35
10,C4,label_request,familiar,2,36
10,C4,request_slide,familiar,2,37
10,C4,slide_touch,familiar,2,38
10,C4,touch_response,familiar,2,39
11,C4,label_request,novel,1,40
11,C4,request_slide,novel,1,41
11,C4,slide_touch,novel,1,42
11,C4,touch_response,novel,1,43
12,C4,label_request,novel,2,44
12,C4,request_slide,novel,2,45
12,C4,slide_touch,novel,2,46
12,C4,touch_response,novel,2,47
