phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude,
1,57902,61879,1,1,60520,0,2,0,
2,61880,62645,2,2,62645,0,0,0,
3,62646,65415,3,3,65215,0,1,0,
4,65416,66164,4,4,66062,0,0,0,
5,74091,78846,1,5,78616,0,1,0,
6,78846,79832,2,6,79763,0,0,0,
7,79832,81905,3,7,81905,0,0,0,
8,81906,84660,4,8,84320,0,1,0,
9,95679,101083,1,9,101083,0,1,0,
10,101084,101659,2,10,101659,0,0,0,
11,101660,104039,3,11,104039,0,1,0,
12,104040,106046,4,12,106046,0,0,0,
13,114531,119068,1,13,118868,0,1,0,
14,119068,120088,2,14,120019,0,0,0,
15,120088,123351,3,15,123351,0,1,0,
16,123352,124916,4,16,124916,0,1,0,
17,136019,139196,1,17,124916,0,1,0,
18,139196,140250,2,18,140122,0,0,1,timing error
19,140250,142018,3,19,142658,0,0,1,timing error
20,142659,143752,4,20,143921,0,0,0,
21,153836,157420,1,21,157473,0,1,0,
22,157420,158474,2,22,158405,0,0,0,
23,158474,158847,3,23,158847,0,1,0,
24,158848,160956,4,24,161199,0,1,0,
25,171020,175202,1,25,175123,0,1,0,
26,175202,176051,2,26,176051,0,0,0,
27,176052,177853,3,27,177853,0,0,0,
28,177854,179180,4,28,179180,0,0,0,
29,188171,193221,1,29,193221,0,1,0,
30,193222,194140,2,30,194037,0,0,0,
31,194140,194514,3,31,195635,0,0,0,
32,195636,196894,4,32,196894,0,0,0,
33,206088,210459,1,33,210210,0,2,0,
34,210460,211173,2,34,211173,0,0,0,
35,211174,211955,3,35,211955,0,0,0,
36,211956,214377,4,36,214377,0,1,0,
37,224074,232526,1,37,233749,0,4,1,child disruptive
38,232526,235144,2,38,234871,0,0,1,child disruptive
39,235144,236163,3,39,236163,0,0,0,
40,236164,237388,4,40,237388,0,0,0,
41,247998,262684,1,41,258631,0,1,1,child disruptive
42,262684,263737,2,42,263737,0,0,0,
43,263738,264621,3,43,264621,0,0,0,
44,264622,265948,4,44,265948,0,0,0,
45,273323,277542,1,45,275922,0,1,0,
46,277542,278494,2,46,278494,0,0,0,
47,278495,279695,3,47,279695,0,0,0,
48,279696,281996,4,48,281996,0,0,0,
