phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,107530,112845,1,1,112845,0,3,0
2,112846,113627,2,2,113627,0,0,0
3,113628,116721,3,3,116721,0,0,0
4,116722,122264,4,4,122264,0,1,0
5,138662,143785,1,5,143785,0,2,0
6,143786,144771,2,6,144771,0,0,0
7,144772,148273,3,7,148273,0,1,0
8,148274,151436,4,8,151436,0,1,0
9,162686,168027,1,9,168027,0,1,0
10,168028,168979,2,10,168979,0,0,0
11,168980,170407,3,11,170407,0,1,0
12,170408,172686,4,12,172686,0,1,0
13,183464,189039,1,13,189039,0,0,0
14,189040,190059,2,14,190059,0,0,0
15,190060,194377,3,15,194377,0,0,0
16,194378,204816,4,16,204816,0,1,0
17,216539,222053,1,17,222053,0,2,0
18,222054,222937,2,18,222937,0,0,0
19,222938,223549,3,19,223549,0,0,0
20,223550,227460,4,20,227460,0,0,0
21,236426,242555,1,21,242555,0,1,0
22,242556,243507,2,22,243507,0,0,0
23,243508,243983,3,23,243983,0,0,0
24,243984,247146,4,24,247146,0,1,0
25,258380,264315,1,25,264315,0,1,0
26,264316,265097,2,26,265097,0,0,0
27,265098,265981,3,27,265981,0,0,0
28,265982,271320,4,28,271320,0,1,1
29,280969,287197,1,29,280969,0,1,0
30,287198,288047,2,30,288047,0,0,0
31,288048,288659,3,31,288659,0,0,0
32,288660,291618,4,32,291618,0,0,0
33,302800,308175,1,33,308175,0,2,0
34,308176,308855,2,34,308855,0,0,0
35,308856,309432,3,35,309432,0,0,0
36,309433,311984,4,36,311984,0,0,0
37,321444,326943,1,37,326943,0,1,0
38,326944,327827,2,38,327827,0,0,0
39,327828,329323,3,39,329323,0,0,0
40,329324,331160,4,40,331160,0,1,0
41,346302,352613,1,41,352613,0,2,0
42,352614,353395,2,42,353395,0,0,0
43,353396,354007,3,43,354007,0,0,0
44,354008,357204,4,44,357204,0,0,0
45,367323,372741,1,45,372741,0,1,0
46,372742,373693,2,46,373693,0,0,0
47,373694,373863,3,47,373863,0,0,0
48,373864,380358,4,48,380358,0,1,1
