phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,67968,72657,"1",,,,,,
1,72658,73541,"2",,,,,,
2,73542,73541,"3",,,,,,
3,73542,76228,"4",,,,,,
4,85786,91425,"1",,,,,,
5,91426,92649,"2",,,,,,
6,92650,92955,"3",,,,,,
7,92956,95370,"4",,,,,,
8,105840,110805,"1",,,,,,
9,110806,111519,"2",,,,,,
10,111520,111723,"3",,,,,,
11,111724,114682,"4",,,,,,
12,125826,130831,"1",,,,,,
13,130832,131647,"2",,,,,,
14,131648,132259,"3",,,,,,
15,132260,134572,"4",,,,,,
