phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,71481,75922,"1",0,71481,75922,"2","",
1,75922,76908,"2",1,75922,76908,"0","",
2,76908,76976,"3",2,76908,76976,"0","",
3,76976,80240,"4",3,76976,80240,"0","",
4,89202,93466,"1",4,89202,93466,"1","",
5,93466,94773,"2",5,93466,94774,"0","",
6,94774,95438,"3",6,94774,95438,"0","",
7,95438,99012,"4",7,95438,99012,"0","",
8,109718,113968,"1",8,109718,113968,"2","",
9,113968,115090,"2",9,113968,115090,"0","",
10,115090,115260,"3",10,115090,115595,"0","",
11,115595,120768,"4",11,115595,120768,"0","",
12,131248,135864,"1",12,131248,135864,"1","",
13,135864,136918,"2",13,135864,136918,"0","",
14,136918,137315,"3",14,136918,137316,"0","",
15,137316,147118,"4",15,137316,147118,"2","",
16,158610,162792,"1",,,,,,
17,162792,163642,"2",,,,,,
18,163642,163975,"3",,,,,,
19,163976,171543,"4",,,,,,
20,180694,185163,"1",,,,,,
21,185164,186319,"2",,,,,,
22,186320,187199,"3",,,,,,
23,187200,189555,"4",,,,,,
24,201480,205224,"1",,,,,,
25,205224,206107,"2",,,,,,
26,206108,206515,"3",,,,,,
27,206516,209644,"4",,,,,,
28,219566,224069,"1",,,,,,
29,224070,225103,"2",,,,,,
30,225104,225419,"3",,,,,,
31,225420,236368,"4",,,,,,
32,251396,255748,"1",,,,,,
33,255748,256734,"2",,,,,,
34,256734,256835,"3",,,,,,
35,256836,261116,"4",,,,,,
36,272217,276556,"1",,,,,,
37,276556,277656,"2",,,,,,
38,277657,278724,"3",,,,,,
39,278725,281139,"4",,,,,,
40,295809,299982,"1",,,,,,
41,299982,300797,"2",,,,,,
42,300798,301341,"3",,,,,,
43,301342,305518,"4",,,,,,
44,316505,320999,"1",,,,,,
45,321000,322183,"2",,,,,,
46,322184,322734,"3",,,,,,
47,322735,327138,"4",,,,,,
