phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,42103,46104,"1",0,42103,46103,"0",
1,46104,46988,"2",1,46104,46987,"0",
2,46988,47361,"3",2,46988,47362,"0",
3,47362,49527,"4",3,47362,49527,"0",
4,58152,62628,"1",4,58152,62627,"1",
5,62628,63457,"2",5,62628,63456,"0",
6,63458,64294,"3",6,63457,64293,"0",
7,64294,67609,"4",7,64294,67609,"0",
8,76604,80707,"1",8,76604,80706,"1",
9,80708,81274,"2",9,80707,81275,"0",
10,81275,82075,"3",10,81275,82074,"0",
11,82076,84612,"4",11,82075,84612,"0",
12,92854,98192,"1",12,92854,98191,"2",
13,98192,99226,"2",13,98192,99225,"0",
14,99227,101184,"3",14,99226,101183,"0",
15,101184,102010,"4",15,101184,102010,"0",
16,111005,115634,"1",,,,,
17,115634,116449,"2",,,,,
18,116450,118217,"3",,,,,
19,118218,119517,"4",,,,,
20,128623,133593,"1",,,,,
21,133594,134401,"2",,,,,
22,134402,137030,"3",,,,,
23,137031,138646,"4",,,,,
24,148743,153510,"1",,,,,
25,153510,154359,"2",,,,,
26,154360,157522,"3",,,,,
27,157522,158984,"4",,,,,
28,169630,174658,"1",,,,,
29,174658,175643,"2",,,,,
30,175644,176357,"3",,,,,
31,176358,180166,"4",,,,,
32,191052,194922,"1",,,,,
33,194922,195669,"2",,,,,
34,195670,196757,"3",,,,,
35,196758,198714,"4",,,,,
36,208236,212739,"1",,,,,
37,212740,213839,"2",,,,,
38,213840,216682,"3",,,,,
39,216682,222067,"4",,,,,
40,237422,240312,"1",,,,,
41,240312,240889,"2",,,,,
42,240890,241735,"3",,,,,
43,241736,245548,"4",,,,,
44,254415,259012,"1",,,,,
45,259012,259690,"2",,,,,
46,259691,260302,"3",,,,,
47,260303,262616,"4",,,,,
