phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks
0,64565,69224,1,0,64565,69223,1
1,69224,70176,2,1,69224,70175,0
2,70176,70970,3,2,70176,70969,0
3,70971,73139,4,3,70970,73138,0
4,82650,88026,1,4,82650,88025,1
5,88026,89122,2,5,88026,89121,0
6,89122,89122,3,6,89122,89122,0
7,89122,91936,4,7,89122,91936,0
8,118285,123760,1,8,118285,123759,2
9,123760,124491,2,9,123760,124490,0
10,124492,124644,3,10,124491,124643,0
11,124644,127534,4,11,124644,127534,0
12,138439,143480,1,12,138439,143479,1
13,143480,145112,2,13,143480,145111,0
14,145112,145248,3,14,145112,145247,0
15,145248,147798,4,15,145248,147798,0
16,162730,167722,1,,,,
17,167722,168571,2,,,,
18,168572,168911,3,,,,
19,168912,172008,4,,,,
20,191358,197336,1,,,,
21,197336,198220,2,,,,
22,198220,198730,3,,,,
23,198730,203116,4,,,,
24,214715,221102,1,,,,
25,221102,221854,2,,,,
26,221855,222394,3,,,,
27,222394,225318,4,,,,
28,235768,241230,1,,,,
29,241230,242114,2,,,,
30,242114,242216,3,,,,
31,242216,244494,4,,,,
32,259460,264248,1,,,,
33,264248,264964,2,,,,
34,264965,265812,3,,,,
35,265812,269994,4,,,,
36,279513,287810,1,,,,
37,287810,289238,2,,,,
38,289238,289407,3,,,,
39,289408,294440,4,,,,
40,311211,317254,1,,,,
41,317254,318035,2,,,,
42,318036,318308,3,,,,
43,318308,321164,4,,,,
44,331598,338300,1,,,,
45,338300,339488,2,,,,
46,339488,339488,3,,,,
47,339488,342890,4,,,,
