phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,64899,71161,1,1,71161,0,2,0,
2,71162,71841,2,2,71841,0,0,0,
3,71842,73813,3,3,73813,0,0,0,
4,73814,74392,4,4,74392,0,0,0,
5,81977,87753,1,5,87753,0,2,0,
6,87754,88501,2,6,88501,0,0,0,
7,88502,91391,3,7,91391,0,0,0,
8,91392,92888,4,8,92888,0,1,0,
9,101001,106215,1,9,106215,0,2,0,
10,106216,106963,2,10,106963,0,0,0,
11,106964,109343,3,11,109343,0,0,0,
12,109344,110976,4,12,110976,0,0,0,
13,119920,125833,1,13,125833,0,1,0,
14,125834,126751,2,14,126751,0,0,0,
15,126752,129607,3,15,126752,0,0,0,
16,129608,130968,4,16,130968,0,0,0,
17,140440,146811,1,17,146811,0,1,0,
18,146812,147457,2,18,147457,0,0,0,
19,147458,149225,3,19,149225,0,0,0,
20,149226,150382,4,20,150382,0,0,0,
21,159727,165001,1,21,165001,0,2,0,
22,165002,165953,2,22,165953,0,0,0,
23,165954,168299,3,23,168299,0,0,0,
24,168300,169422,4,24,169422,0,0,0,
25,179312,185163,1,25,185163,0,2,0,
26,185164,185979,2,26,185979,0,0,0,
27,185980,188053,3,27,188053,0,0,0,
28,188054,189516,4,28,189516,0,0,0,
29,199567,205869,1,29,205869,0,1,0,
30,205870,206719,2,30,206719,0,0,0,
31,206720,210289,3,31,210289,0,1,0,
32,210290,212262,4,32,212262,0,1,0,
33,224458,230315,1,33,230315,0,2,0,
34,230316,231165,2,34,231165,0,0,0,
35,231166,233035,3,35,233035,0,0,0,
36,233036,234056,4,36,234056,0,0,0,
37,243059,248029,1,37,248029,0,2,0,
38,248030,249049,2,38,249049,0,0,0,
39,249050,251497,3,39,251497,0,0,0,
40,251498,252246,4,40,252246,0,0,0,
41,262028,267749,1,41,267749,0,2,0,
42,267750,268463,2,42,268463,0,0,0,
43,268464,270911,3,43,270911,0,0,0,
44,270912,271966,4,44,271966,0,0,0,
45,281215,287299,1,45,287299,0,1,0,
46,287300,288183,2,46,288183,0,0,0,
47,288184,290733,3,47,290733,0,0,0,
48,290734,292910,4,48,292910,0,0,0,
