phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,46356,51475,"1",0,51475,0,"2","","",
1,51476,52155,"2",1,52155,0,"0","","",
2,52156,52393,"3",2,52393,0,"0","","",
3,52394,53992,"4",3,53992,0,"0","","",
4,61438,66673,"1",4,66673,0,"2","","",
5,66674,67353,"2",5,67353,0,"0","","",
6,67354,67557,"3",6,67557,0,"0","","",
7,67558,69904,"4",7,69904,0,"0","","",
8,86430,91935,"1",8,91935,0,"1","","",
9,91936,92683,"2",9,92683,0,"0","","",
10,92684,93125,"3",10,93125,0,"0","","",
11,93126,98838,"4",11,98838,0,"0","","",
12,107951,113559,"1",12,113559,0,"0","","",
13,113560,114341,"2",13,114341,0,"0","","",
14,114342,114783,"3",14,114783,0,"0","","",
15,114784,117096,"4",15,117096,0,"1","","",
16,126269,132225,"1",,,,,,,
17,132226,132905,"2",,,,,,,
18,132906,132973,"3",,,,,,,
19,132974,140114,"4",,,,,,,
20,148524,154155,"1",,,,,,,
21,154156,155005,"2",,,,,,,
22,155006,155243,"3",,,,,,,
23,155244,158002,"4",,,,,,,
24,169012,174793,"1",,,,,,,
25,174794,175609,"2",,,,,,,
26,175610,175745,"3",,,,,,,
27,175746,181390,"4",,,,,,,
28,189566,195023,"1",,,,,,,
29,195024,195839,"2",,,,,,,
30,195840,196179,"3",,,,,,,
31,196180,199138,"4",,,,,,,
32,214156,220081,"1",,,,,,,
33,220082,220863,"2",,,,,,,
34,220864,220897,"3",,,,,,,
35,220898,224366,"4",,,,,,,
36,233176,238577,"1",,,,,,,
37,238578,239257,"2",,,,,,,
38,239258,239291,"3",,,,,,,
39,239292,242318,"4",,,,,,,
40,252028,257333,"1",,,,,,,
41,257334,258466,"2",,,,,,,
42,258467,258841,"3",,,,,,,
43,258842,262967,"4",,,,,,,
44,271313,276656,"1",,,,,,,
45,276657,277541,"2",,,,,,,
46,277542,277983,"3",,,,,,,
47,277984,301410,"4",,,,,,,
