phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,100932,105943,"1",0,105943,0,"1","0","0","0","",
1,105944,106827,"2",1,106827,0,"1","0","0","0","",
2,106828,107031,"3",2,107031,0,"0","0","0","0","",
3,107032,109310,"4",3,109310,0,"0","0","0","0","",
4,120284,125799,"1",4,125799,0,"1","0","0","0","",
5,125800,127023,"2",5,127023,0,"1","0","0","0","",
6,127024,127193,"3",6,127193,0,"0","0","0","0","",
7,127194,130254,"4",7,130254,0,"0","0","0","0","",
8,142172,148070,"1",8,148070,0,"1","0","0","0","",
9,148070,148817,"2",9,148817,0,"0","0","0","0","",
10,148818,149123,"3",10,149123,0,"0","0","0","0","",
11,149124,151606,"4",11,151606,0,"0","0","0","0","",
12,168299,172685,"1",12,172685,0,"2","0","0","0","",
13,172686,173603,"2",13,173603,0,"0","0","0","0","",
14,173604,173773,"3",14,173773,0,"0","0","0","0","",
15,173774,176460,"4",15,176460,0,"1","0","0","0","",
16,190354,196281,"1",16,196281,0,"1","0","0","0","",
17,196282,197165,"2",17,197165,0,"0","0","0","0","",
18,197166,197539,"3",18,197539,0,"0","0","0","0","",
19,197540,201382,"4",19,201382,0,"0","0","0","0","",
20,216012,223277,"1",20,223277,0,"1","0","0","0","",
21,223278,224059,"2",21,224059,0,"0","0","0","0","",
22,224060,224399,"3",22,224399,0,"0","0","0","0","",
23,224400,227324,"4",23,227324,0,"0","0","0","0","",
24,239490,246227,"1",24,246227,0,"1","0","0","0","",
25,246228,247145,"2",25,247145,0,"0","0","0","0","",
26,247146,247417,"3",26,247417,0,"0","0","0","0","",
27,247418,255272,"4",27,255272,0,"1","0","0","1","experimenter intervenes",
28,269833,276079,"1",28,276079,0,"1","0","0","0","",
29,276080,276792,"2",29,276792,0,"0","0","0","0","",
30,276793,277847,"3",30,277847,0,"0","0","0","0","",
31,277848,280432,"4",31,280432,0,"0","0","0","0","",
32,293324,299762,"1",32,299762,0,"1","0","0","0","",
33,299763,301171,"2",33,301171,0,"1","0","0","0","",
34,301172,301816,"3",34,301816,0,"0","0","0","0","",
35,301817,306714,"4",35,306714,0,"0","0","0","0","",
36,323787,332588,"1",36,332588,0,"1","0","0","0","",
37,332588,333539,"2",37,333539,0,"0","0","0","0","",
38,333540,333709,"3",38,333709,0,"0","0","0","0","",
39,333710,345440,"4",39,345440,0,"1","0","0","0","",
40,358355,364445,"1",40,364445,0,"2","0","0","0","",
41,364446,365295,"2",41,365295,0,"0","0","0","0","",
42,365296,365464,"3",42,365464,0,"0","0","0","0","",
43,365465,371892,"4",43,371892,0,"0","0","0","0","",
44,387518,393923,"1",44,393923,0,"0","0","0","0","",
45,393924,394637,"2",45,394637,0,"0","0","0","0","",
46,394638,395317,"3",46,395317,0,"0","0","0","0","",
47,395318,399398,"4",47,399398,0,"1","0","0","0","",
