phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude
0,117508,121957,1,0,121957,0,2,0,0,0,
1,121958,122773,2,1,122773,0,0,0,0,0,
2,122774,125663,3,2,125663,0,1,0,0,0,
3,125664,127908,4,3,127908,0,1,0,0,0,
4,137906,142595,1,4,142595,0,2,0,0,0,
5,142596,143445,2,5,143445,0,0,0,0,0,
6,143446,146573,3,6,146573,0,1,0,0,0,
7,146574,148172,4,7,148172,0,2,0,0,0,
8,160085,164423,1,8,164423,0,3,0,0,0,
9,164424,165477,2,9,165477,0,0,0,0,0,
10,165478,167314,3,10,167314,0,0,0,0,0,
11,167314,168504,4,11,168504,0,0,0,0,0,
12,179414,184177,1,12,184177,0,3,0,0,0,
13,184178,185027,2,13,185027,0,0,0,0,0,
14,185028,187883,3,14,187883,0,1,0,0,0,
15,187884,188700,4,15,188700,0,1,0,0,0,
16,198332,203557,1,16,203557,0,3,0,0,0,
17,203558,204373,2,17,204373,0,0,0,0,0,
18,204374,206583,3,18,206583,0,1,0,0,0,
19,206584,207978,4,19,207978,0,2,0,0,0,
20,219287,224467,1,20,224467,0,1,0,0,0,
21,224468,225487,2,21,225487,0,0,0,0,0,
22,225488,228445,3,22,228445,0,0,0,0,0,
23,228446,230384,4,23,230384,0,1,0,0,0,
24,241976,247281,1,24,247281,0,2,0,0,0,
25,247282,248131,2,25,248131,0,0,0,0,0,
26,248132,250579,3,26,250579,0,1,0,0,0,
27,250580,251838,4,27,251838,0,1,0,0,0,
28,263465,268565,1,28,268565,0,2,0,0,0,
29,268566,269313,2,29,269313,0,0,0,0,0,
30,269313,272883,3,30,272883,0,1,0,0,0,
31,272884,273904,4,31,273904,0,1,0,0,0,
32,285872,290563,1,32,290563,0,3,0,0,0,
33,290564,291515,2,33,291515,0,0,0,0,0,
34,291516,293656,3,34,293656,0,0,0,0,0,
35,293657,294576,4,35,294576,0,0,0,0,0,
36,306875,311813,1,36,311813,0,3,0,0,0,
37,311814,312799,2,37,312799,0,0,0,0,0,
38,312800,316981,3,38,316981,0,1,0,0,0,
39,316982,319022,4,39,319022,0,2,0,0,0,
40,331633,336463,1,40,336463,0,2,0,0,0,
41,336464,337381,2,41,337381,0,0,0,0,0,
42,337382,339999,3,42,339999,0,0,0,0,0,
43,340000,341122,4,43,341122,0,1,0,0,0,
44,353321,357951,1,44,357951,0,2,0,0,0,
45,357952,358869,2,45,358869,0,0,0,0,0,
46,358870,361181,3,46,361181,0,0,0,0,0,
47,361182,362406,4,47,362406,0,0,0,0,0,
