phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,108146,112879,"1",0,112879,0,"2","","","","",
1,112880,113729,"2",1,113729,0,"0","","","","",
2,113730,114273,"3",2,114273,0,"0","","","","",
3,114274,116416,"4",3,116416,0,"0","","","","",
4,126923,131851,"1",4,131851,0,"1","","","","",
5,131852,132837,"2",5,132837,0,"0","","","","",
6,132838,132866,"3",6,132866,0,"0","","","","",
7,132974,138856,"4",7,138856,0,"0","","","","",
8,156720,162179,"1",8,162179,0,"1","","","","",
9,162180,162961,"2",9,162961,0,"0","","","","",
10,162962,163165,"3",10,163165,0,"0","","","","",
11,163166,171904,"4",11,171904,0,"0","","","","",
12,183714,189685,"1",12,189685,0,"2","","","","",
13,189686,190433,"2",13,190433,0,"0","","","","",
14,190434,190433,"3",14,190434,0,"0","","","","",
15,190434,205394,"4",15,205394,0,"1","","","","",
16,215679,220965,"1",,,,,,,,,
17,220966,221917,"2",,,,,,,,,
18,221918,222461,"3",,,,,,,,,
19,222462,235151,"4",,,,,,,,,
20,255819,261323,"1",,,,,,,,,
21,261324,262242,"2",,,,,,,,,
22,262242,262241,"3",,,,,,,,,
23,262242,273700,"4",,,,,,,,,
24,283647,288965,"1",,,,,,,,,
25,288966,289951,"2",,,,,,,,,
26,289952,290699,"3",,,,,,,,,
27,290700,297160,"4",,,,,,,,,
28,310040,315757,"1",,,,,,,,,
29,315758,316640,"2",,,,,,,,,
30,316641,316776,"3",,,,,,,,,
31,316777,326876,"4",,,,,,,,,
32,339436,344623,"1",,,,,,,,,
33,344624,345541,"2",,,,,,,,,
34,345542,345813,"3",,,,,,,,,
35,345814,349316,"4",,,,,,,,,
36,360289,364751,"1",,,,,,,,,
37,364752,365703,"2",,,,,,,,,
38,365704,365736,"3",,,,,,,,,
39,365737,369376,"4",,,,,,,,,
40,386416,391203,"1",,,,,,,,,
41,391204,392053,"2",,,,,,,,,
42,392054,392325,"3",,,,,,,,,
43,392326,406232,"4",,,,,,,,,
44,420583,425781,"1",,,,,,,,,
45,425782,426767,"2",,,,,,,,,
46,426768,426835,"3",,,,,,,,,
47,426836,438804,"4",,,,,,,,,
