SID,1,2,3,4,5,6,7,8,9,10,11,12
42916_03,R,R,L,R,R,L,L,R,R,R,L,R
42916_05,R,R,L,R,R,R,L,L,R,R,L,R
42916_06,R,L,L,R,R,L,L,R,R,L,L,R
42916_07,R,R,L,L,R,L,L,L,R,L,L,R
50516_02,R,B,L,R,R,R,L,R,R,R,L,R
50516_03,R,NC,L,R,R,R,L,LR,R,NC,L,R
50516_06,R,R,L,R,R,R,L,L,R,R,L,R
50616_02,R,B,L,R,R,L,L,L,R,R,L,R
50616_04,R,R,L,R,R,L,L,R,R,R,L,L
50616_05,R,B,L,B,R,L,L,B,R,B,L,L
50616_06,R,LR,L,R,R,L,L,R,R,R,L,L
50616_07,R,B,L,R,R,R,L,L,R,L,L,R
50616_09,R,L,L,R,R,L,L,L,R,L,L,R
51716_01,R,B,L,B,R,L,L,L,R,R,L,LR
51916_01,R,B,L,R,R,L,L,R,R,R,L,L
52616_02,R,LR,L,R,R,R,L,R,R,R,L,R
52616_04,R,R,L,R,R,R,L,R,R,R,L,R
52716_01,R,R,L,R,R,R,L,R,R,R,L,R
52716_03,R,R,L,R,R,R,L,L,R,R,L,R
52716_04,R,L,R,LR,R,L,L,LR,R,R,L,R
52716_05,R,L,L,R,R,L,L,L,R,L,L,R
53016_01,L,R,L,R,R,L,L,L,R,R,L,L
53016_02,R,R,L,R,R,L,L,R,R,R,L,R
53016_03,R,RL,L,R,R,L,L,L,R,R,L,R
53016_04,R,L,R,L,R,R,L,R,R,L,L,L
53116_01,R,LR,L,L,R,L,L,L,R,RL,L,R
60916_01,R,B,L,L,R,RL,L,R,R,LR,L,L
60916_03,R,R,L,R,R,R,L,L,R,R,L,R
60916_04,R,L,L,R,R,R,L,L,R,L,L,R
60916_05,R,L,L,R,R,L,L,L,R,L,L,R
61016_01,R,R,L,R,R,L,L,R,R,R,L,R
61016_02,R,R,L,R,R,L,L,L,R,R,L,R
61016_03,R,L,L,B,R,L,L,LR,R,R,L,L
61016_04,R,R,L,R,R,L,L,L,R,R,L,L
61216_01,R,R,L,R,R,L,L,L,R,R,L,L
61216_02,R,R,L,L,R,L,L,L,R,L,L,L
61216_03,R,R,L,L,R,L,L,R,R,R,L,R
61416_02,R,L,L,R,R,L,L,L,R,R,L,R
61416_03,R,LR,L,LR,R,R,L,L,R,R,L,R
61416_04,R,R,L,R,R,L,L,L,R,R,L,R
61416_05,R,R,L,LR,R,LR,L,R,R,R,L,R
61416_06,R,L,L,L,R,R,L,R,R,L,L,R
61516_01,R,R,L,R,R,L,L,L,R,R,L,R
61516_02,R,R,L,L,R,L,L,L,R,R,L,R
61616_01,R,R,L,B,R,L,L,B,R,R,L,L
61616_02,R,R,L,R,R,L,L,R,R,R,L,L
62116_01,R,R,L,R,R,B,L,R,R,R,L,L
62116_02,R,R,L,R,R,R,L,L,R,L,L,R
62116_03,R,R,L,L,R,L,L,L,R,L,L,R
62116_05,R,R,L,R,R,R,L,L,R,R,L,R
62116_06,R,R,L,R,R,R,L,L,R,R,L,R
62116_07,R,L,L,R,R,L,L,L,R,L,L,R
62316_01,R,R,L,R,R,L,L,L,R,R,L,L
62416_01,R,R,L,R,R,L,L,R,R,R,L,L
62416_02,L,L,L,RL,R,B,L,L,R,B,L,B
62416_04,R,R,L,R,R,L,L,RL,R,R,L,LR
62416_05,R,LR,L,B,R,LR,L,L,R,LR,L,L
62416_06,R,L,L,R,R,L,L,L,R,R,L,R
62816_01,R,R,L,R,R,L,L,R,R,R,L,L
62816_02,R,R,L,R,R,L,L,L,R,R,L,R
62816_03,R,R,L,R,R,L,L,L,R,R,L,L
63016_02,R,B,L,R,R,L,L,L,R,R,L,R
63016_03,R,B,L,R,R,RL,L,L,R,L,L,R
70716_01,R,R,L,R,R,L,L,R,R,R,L,R
71216_01,R,R,L,R,R,R,L,R,R,R,L,R
71216_02,R,RL,L,R,R,R,L,R,R,R,L,LR
71216_03,R,R,L,R,R,R,L,R,R,R,L,R
71416_02,R,RL,L,R,R,R,L,L,R,L,L,R
71416_03,R,R,L,R,R,L,L,L,R,R,L,L
71416_05,R,R,L,R,R,L,L,R,R,R,L,R
71816_03,R,R,L,RL,R,RL,L,LR,R,LR,L,LR
71816_04,R,R,L,LR,R,L,L,RL,R,R,L,LR
71816_05,R,R,L,R,R,B,L,B,R,RL,L,B
71916_02,R,R,L,R,R,RL,L,R,R,R,L,R
72116_01,R,B,L,R,L,LR,L,RL,R,L,L,LR
72216_01,R,R,L,R,R,R,L,L,R,L,L,R
72216_02,R,R,L,L,R,R,R,L,R,R,L,R
72216_04,R,RL,R,R,R,B,L,L,R,R,L,RL
72216_05,R,RL,L,LR,R,LR,L,LR,R,LR,L,LR
72416_02,R,LR,L,R,R,R,L,L,R,L,L,R
72616_02,R,B,L,L,R,R,L,L,R,L,L,R
80716_02,R,R,L,R,R,R,L,L,R,R,L,R
