SID,1,2,3,4,5,6,7,8,9,10,11,12
42916_03,1,1,1,,1,1,1,,1,1,1,
42916_05,1,,1,1,1,,1,1,1,,1,1
42916_06,1,,1,1,1,,1,1,1,,1,1
42916_07,1,1,1,,1,1,1,,1,1,1,
50516_02,1,,1,1,1,,1,1,1,,1,1
50516_03,1,0,1,,1,1,1,,1,0,1,
50516_06,1,,1,1,1,,1,1,1,,1,1
50616_02,1,,1,1,1,,1,1,1,,1,1
50616_04,1,1,1,,1,1,1,,1,1,1,
50616_05,1,1,1,,1,1,1,,1,1,1,
50616_06,1,1,1,,1,1,1,,1,1,1,
50616_07,1,,1,1,1,,1,1,1,,1,1
50616_09,1,,1,1,1,,1,1,1,,1,1
51716_01,1,,1,1,1,,1,1,1,,1,0
51916_01,1,,1,1,1,,1,0,1,,1,0
52616_02,1,,1,1,1,,1,1,1,,1,1
52616_04,1,,1,1,1,,1,1,1,,1,1
52716_01,1,,1,1,1,,1,1,1,,1,1
52716_03,1,,1,1,1,,1,1,1,,1,1
52716_04,1,,1,1,1,,1,1,1,,1,1
52716_05,1,,1,1,1,,1,1,1,,1,1
53016_01,1,1,1,,1,1,1,,1,1,1,
53016_02,1,1,1,,1,1,1,,1,1,1,
53016_03,1,1,1,,1,1,1,,1,1,1,
53016_04,1,0,1,,1,0,1,,1,0,1,
53116_01,1,0,1,,1,1,1,,1,1,1,
60916_01,1,1,1,,1,0,1,,1,0,1,
60916_03,1,,1,1,1,,1,1,1,,1,1
61416_06,1,1,1,,1,1,1,,1,1,1,
62116_01,1,1,1,,1,1,1,,1,1,1,
62116_02,1,,1,1,1,,1,1,1,,1,1
62116_06,1,,1,1,1,,1,1,1,,1,1
62416_05,1,0,1,,1,1,1,,1,0,1,
63016_02,1,,1,1,1,,1,1,1,,1,1
63016_03,1,,1,1,1,,1,1,1,,1,1
70716_01,1,1,1,,1,1,1,,1,1,1,
71216_02,1,1,1,,1,1,1,,1,1,1,
71216_03,1,1,1,,1,1,1,,1,1,1,
71416_02,1,,1,1,1,,1,1,1,,1,1
71416_03,1,1,1,,1,1,1,,1,1,1,
71416_05,1,1,1,,1,1,1,,1,1,1,
71816_03,1,,1,1,1,,1,1,1,,1,0
71816_04,1,,1,0,1,,1,0,1,,1,1
71816_05,1,,1,1,1,,1,1,1,,1,1
71916_02,1,1,1,,1,0,1,,1,1,1,
72116_01,1,,1,1,1,,1,0,1,,1,0
72216_01,1,,1,1,1,,1,1,1,,1,1
72216_02,1,,1,1,0,,1,1,1,,1,1
72216_04,1,1,1,,1,1,1,,1,1,1,
72216_05,1,1,1,,1,1,1,,1,0,1,
72416_02,1,,1,1,1,,1,1,1,,1,1
72616_02,1,,1,1,1,,1,1,1,,1,1
80716_02,1,,1,1,1,,1,1,1,,1,1
60916_04,1,,1,1,1,,1,1,1,,1,1
60916_05,1,,1,1,1,,1,1,1,,1,1
61016_01,1,1,1,,1,1,1,,1,1,1,
61016_02,1,1,1,,1,1,1,,1,1,1,
61016_03,1,0,1,,1,1,1,,1,1,1,
61016_04,1,1,1,,1,1,1,,1,1,1,
61216_01,1,1,1,,1,1,1,,1,1,1,
61216_02,1,1,0,,1,1,1,,1,0,1,
61216_03,1,1,1,,1,1,1,,1,1,1,
61416_02,1,,1,1,1,,1,1,1,,1,1
61416_03,1,,1,0,1,,1,1,1,,1,1
61416_04,1,1,1,,1,1,1,,1,1,1,
61416_05,1,1,1,,1,1,1,,1,1,1,
61516_01,1,1,1,,1,1,1,,1,1,1,
61516_02,1,1,1,,1,1,1,,1,1,1,
61616_01,1,1,1,,1,1,1,,1,1,1,
61616_02,1,1,1,,1,1,1,,1,1,1,
62116_03,1,,1,1,1,,1,1,1,,1,1
62116_05,1,,1,1,1,,1,1,1,,1,1
62116_07,1,,1,1,1,,1,1,1,,1,1
62316_01,1,1,1,,1,1,1,,1,1,1,
62416_01,1,1,1,,1,1,1,,1,1,1,
62416_02,1,,1,1,1,,1,1,1,,1,1
62416_04,1,,1,1,1,,1,0,1,,1,0
62416_06,1,,1,1,1,,1,1,1,,1,1
62816_01,1,1,1,,1,1,1,,1,1,1,
62816_02,1,1,1,,1,1,1,,1,1,1,
62816_03,1,0,1,,1,1,1,,1,1,1,
71216_01,1,1,1,,1,1,1,,1,1,1,
