phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude,
1,40815,45560,1,1,45419,0,0,0,
2,45560,46511,2,2,46511,0,0,0,
3,46512,47254,3,3,47254,0,0,0,
4,47255,50932,4,4,50932,0,0,0,
5,58934,63871,1,5,63871,0,0,0,
6,63872,65280,2,6,65109,0,0,0,
7,65280,66130,3,7,68876,0,0,0,
8,66130,76194,4,8,76194,0,0,1,child uncooperative
9,82958,88094,1,9,87695,0,1,0,
10,88094,88842,2,10,88842,0,0,0,
11,88842,89147,3,11,89147,0,0,0,
12,89148,104380,4,12,104380,0,0,0,
13,113121,118025,1,13,118025,0,0,0,
14,118026,119093,2,14,119093,0,0,0,
15,119094,119460,3,15,119460,0,0,0,
16,119461,123250,4,16,123250,0,0,0,
17,132107,137043,1,17,137043,0,1,0,
18,137044,137870,2,18,137903,0,0,0,
19,137870,137937,3,19,137937,0,0,0,
20,137938,140450,4,20,140450,0,0,0,
21,148723,153000,1,21,152926,0,0,0,
22,153000,154190,2,22,154061,0,0,0,
23,154190,154393,3,23,154393,0,0,0,
24,154394,161704,4,24,161704,0,0,0,
25,172414,176883,1,25,176883,0,0,0,
26,176884,177752,2,26,177717,0,0,0,
27,177752,177922,3,27,177819,0,0,0,
28,177922,181458,4,28,181458,0,0,0,
29,190464,195636,1,29,195235,0,1,0,
30,195636,196587,2,30,196587,0,0,0,
31,196588,197233,3,31,197233,0,0,0,
32,197234,200271,4,32,200271,0,0,0,
33,211552,216444,1,33,216590,0,0,0,
34,216444,217395,2,34,217395,0,0,0,
35,217396,217599,3,35,217599,0,0,0,
36,217600,226932,4,36,226932,0,0,0,
37,236511,241910,1,37,241515,0,1,0,
38,241910,242950,2,38,242950,0,0,0,
39,242951,243439,3,39,243439,0,0,0,
40,243440,267897,4,40,267897,0,0,1,child uncooperative
41,284592,288762,1,41,289062,0,1,0,
42,288762,289440,2,42,289440,0,1,0,
43,289441,289611,3,43,289611,0,0,0,
44,289612,292400,4,44,292681,0,0,0,
45,300909,305546,1,45,305546,0,1,0,
46,305547,306611,2,46,306611,0,0,0,
47,306612,306848,3,47,306848,0,0,0,
48,306849,313510,4,48,313510,0,0,0,
