phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,reference.reason_exclude,
0,47918,55283,"1",0,54838,0,"0","0","",
1,55284,55997,"2",1,55997,0,"0","0","",
2,55998,56303,"3",2,56303,56303,"0","0","",
3,56304,57732,"4",3,57732,0,"0","0","",
4,66336,71774,"1",4,66946,0,"1","0","",
5,71774,72487,"2",5,72487,0,"0","0","",
6,72488,73371,"3",6,73371,0,"0","0","",
7,73372,74562,"4",7,74562,0,"0","0","",
8,85055,90201,"1",8,90201,0,"1","0","",
9,90202,90915,"2",9,90915,0,"0","0","",
10,90916,91391,"3",10,91391,0,"0","0","",
11,91392,94452,"4",11,94452,0,"0","0","",
12,106576,112403,"1",12,112403,0,"2","0","",
13,112404,113389,"2",13,113389,0,"0","0","",
14,113390,121413,"3",14,121413,0,"1","0","",
15,121414,121924,"4",15,121924,0,"0","0","",
16,131701,137904,"1",,,,,,,
17,137904,138617,"2",,,,,,,
18,138618,138651,"3",,,,,,,
19,138652,140794,"4",,,,,,,
20,149386,155141,"1",,,,,,,
21,155142,156093,"2",,,,,,,
22,156094,158303,"3",,,,,,,
23,158304,159290,"4",,,,,,,
24,168138,173535,"1",,,,,,,
25,173536,174249,"2",,,,,,,
26,174250,174385,"3",,,,,,,
27,174386,176630,"4",,,,,,,
28,186022,192133,"1",,,,,,,
29,192134,192949,"2",,,,,,,
30,192950,196791,"3",,,,,,,
31,196792,197744,"4",,,,,,,
32,208778,214063,"1",,,,,,,
33,214064,214845,"2",,,,,,,
34,214846,214913,"3",,,,,,,
35,214914,217668,"4",,,,,,,
36,228098,234157,"1",,,,,,,
37,234158,234973,"2",,,,,,,
38,234974,236503,"3",,,,,,,
39,236504,241230,"4",,,,,,,
40,250687,255917,"1",,,,,,,
41,255918,256801,"2",,,,,,,
42,256802,257207,"3",,,,,,,
43,257208,259114,"4",,,,,,,
44,268737,275263,"1",,,,,,,
45,275264,276181,"2",,,,,,,
46,276182,276861,"3",,,,,,,
47,279514,281724,"4",,,,,,,
