phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude
1,38886,43383,1,1,38886,0,3,0
2,43384,44097,2,2,44097,0,0,0
3,44098,44573,3,3,44573,0,0,0
4,44574,46172,4,4,46172,0,0,0
5,54968,60655,1,5,60655,0,2,0
6,60656,61573,2,6,61573,0,0,0
7,61574,61607,3,7,61607,0,0,0
8,61608,70108,4,8,70108,0,3,0
9,79293,83572,1,9,83572,0,1,0
10,83572,84319,2,10,84319,0,0,0
11,84320,84387,3,11,84387,0,0,0
12,84388,87992,4,12,87992,0,1,0
13,97611,102237,1,13,102237,0,1,0
14,102238,102985,2,14,102985,0,0,0
15,102986,103121,3,15,103121,0,0,0
16,103122,108970,4,16,108970,0,2,1
17,119333,123725,1,17,123725,0,1,0
18,123726,124405,2,18,124405,0,0,0
19,124406,124541,3,19,124541,0,0,0
20,124542,126684,4,20,126684,0,0,0
21,134380,140487,1,21,140487,0,3,0
22,140488,141269,2,22,141269,0,0,0
23,141270,141643,3,23,141643,0,0,0
24,141644,146574,4,24,146574,0,1,1
25,155802,160003,1,25,160003,0,2,0
26,160004,160547,2,26,160547,0,0,0
27,160548,161227,3,27,161227,0,0,0
28,161227,162622,4,28,162622,0,0,0
29,169716,174011,1,29,174011,0,0,0
30,174012,174895,2,30,174895,0,0,0
31,174896,175065,3,31,175065,0,0,0
32,175066,177344,4,32,177344,0,0,0
33,187700,192133,1,33,192133,0,2,0
34,192134,192813,2,34,192813,0,0,0
35,192814,193017,3,35,193017,0,0,0
36,193018,194854,4,36,194854,0,0,0
37,203984,209065,1,37,209065,0,1,0
38,209066,209949,2,38,209949,0,0,0
39,209950,210017,3,39,210017,0,0,0
40,210018,219572,4,40,219572,0,2,1
41,231044,235381,1,41,235381,0,2,0
42,235382,236163,2,42,236163,0,1,0
43,236164,236333,3,43,236333,0,0,0
44,236334,238442,4,44,238442,0,0,0
45,246592,251191,1,45,251191,0,1,0
46,251192,251973,2,46,251973,0,0,0
47,251974,251973,3,47,251974,0,0,0
48,251974,254320,4,48,254320,0,0,0
