phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.exclude?,
0,60643,65142,"1",,,,,,
1,65143,65994,"2",,,,,,
2,65994,67863,"3",,,,,,
3,67864,69122,"4",,,,,,
4,77708,82585,"1",,,,,,
5,82586,83436,"2",,,,,,
6,83436,85985,"3",,,,,,
7,85986,86836,"4",,,,,,
8,96446,100979,"1",,,,,,
9,100980,101796,"2",,,,,,
10,101796,104243,"3",,,,,,
11,104244,112914,"4",,,,,,
12,122839,127873,"1",,,,,,
13,127874,128860,"2",,,,,,
14,128860,131511,"3",,,,,,
15,131512,136203,"4",,,,,,
