phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,
0,50625,55488,"1",0,50625,55487,"1",
1,55488,56196,"2",1,55488,56195,"0",
2,56197,58378,"3",2,56196,58377,"0",
3,58378,59978,"4",3,58378,59978,"0",
4,70378,75956,"1",4,70378,75955,"1",
5,75956,76772,"2",5,75956,76771,"1",
6,76772,79457,"3",6,76772,79456,"1",
7,79458,80104,"4",7,79457,80104,"1",
8,90432,94588,"1",8,90432,94587,"1",
9,94588,95202,"2",9,94588,95201,"1",
10,95203,96695,"3",10,95202,96694,"0",
11,96696,97478,"4",11,96695,97478,"0",
12,106548,112302,"1",12,106548,112301,"0",
13,112302,113117,"2",13,112302,113116,"0",
14,113118,115599,"3",14,113117,115598,"0",
15,115600,116484,"4",15,115599,116484,"0",
16,128670,133552,"1",,,,,
17,133552,134334,"2",,,,,
18,134334,136577,"3",,,,,
19,136578,137462,"4",,,,,
20,148288,153510,"1",,,,,
21,153510,154327,"2",,,,,
22,154328,154937,"3",,,,,
23,154938,156910,"4",,,,,
24,168976,174386,"1",,,,,
25,174386,175082,"2",,,,,
26,175083,175683,"3",,,,,
27,175684,177511,"4",,,,,
28,189364,193970,"1",,,,,
29,193970,194785,"2",,,,,
30,194786,195193,"3",,,,,
31,195194,198320,"4",,,,,
32,209050,213894,"1",,,,,
33,213894,214437,"2",,,,,
34,214438,216390,"3",,,,,
35,216391,217328,"4",,,,,
36,227368,232628,"1",,,,,
37,232628,233376,"2",,,,,
38,233376,236027,"3",,,,,
39,236028,237082,"4",,,,,
40,248022,252586,"1",,,,,
41,252586,253435,"2",,,,,
42,253436,254217,"3",,,,,
43,254218,259352,"4",,,,,
44,270177,274414,"1",,,,,
45,274414,275467,"2",,,,,
46,275468,275637,"3",,,,,
47,275638,278596,"4",,,,,
