phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks
0,64765,68714,1,0,64765,68713,2
1,68714,69428,2,1,68714,69427,0
2,69428,69801,3,2,69428,69800,0
3,69802,71876,4,3,69801,71876,0
4,81048,85918,1,4,81048,85917,1
5,85918,86632,2,5,85918,86631,0
6,86632,86835,3,6,86632,86834,0
7,86836,88706,4,7,86835,88706,1
8,100367,105128,1,8,100367,105127,3
9,105128,105876,2,9,105128,105875,0
10,105876,106148,3,10,105876,106147,0
11,106148,112166,4,11,106148,112166,0
12,121689,126786,1,12,121689,126785,1
13,126786,127670,2,13,126786,127669,0
14,127670,128756,3,14,127670,128755,0
15,128757,131070,4,15,128756,0,1
16,141542,147084,1,,,,
17,147084,147696,2,,,,
18,147696,148308,3,,,,
19,148308,150552,4,,,,
20,159292,163676,1,,,,
21,163676,164423,2,,,,
22,164424,164832,3,,,,
23,164832,166668,4,,,,
24,179212,183940,1,,,,
25,183940,184620,2,,,,
26,184620,184857,3,,,,
27,184857,187241,4,,,,
28,197731,202436,1,,,,
29,202436,203387,2,,,,
30,203388,204067,3,,,,
31,204068,205836,4,,,,
32,216884,221510,1,,,,
33,221510,222258,2,,,,
34,222258,222734,3,,,,
35,222734,225056,4,,,,
36,234935,239496,1,,,,
37,239496,240312,2,,,,
38,240312,240652,3,,,,
39,240652,242488,4,,,,
40,255588,259760,1,,,,
41,259760,260542,2,,,,
42,260542,260813,3,,,,
43,260814,263670,4,,,,
44,273673,279004,1,,,,
45,279004,279956,2,,,,
46,279956,281996,3,,,,
47,281996,283210,4,,,,
