phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,104736,109955,"1",0,109955,0,"2","0","0","0","",
1,109956,109990,"2",1,110839,0,"0","0","0","0","",
2,110840,114069,"3",2,114069,0,"0","0","0","0","",
3,114070,114818,"4",3,114818,0,"0","0","0","0","",
4,131899,136679,"1",4,136679,0,"1","0","0","0","",
5,136680,137495,"2",5,137495,0,"0","0","0","0","",
6,137496,140045,"3",6,140045,0,"0","0","0","0","",
7,140046,140658,"4",7,140658,0,"0","0","0","0","",
8,154120,159697,"1",8,159697,0,"1","0","0","0","",
9,159698,160581,"2",9,160581,0,"0","0","0","0","",
10,160582,163267,"3",10,163267,0,"0","0","0","0","",
11,163268,163948,"4",11,163948,0,"0","0","0","0","",
12,179593,184313,"1",12,184313,0,"1","0","0","0","",
13,184314,185061,"2",13,185061,0,"0","0","0","0","",
14,185062,187645,"3",14,187645,0,"0","0","0","0","",
15,187646,188258,"4",15,188258,0,"0","0","0","0","",
16,204872,210051,"1",16,210051,0,"1","0","0","0","",
17,210052,210799,"2",17,210799,0,"0","0","0","0","",
18,210800,213383,"3",18,213383,0,"0","0","0","0","",
19,213384,213894,"4",19,213894,0,"0","0","0","0","",
20,226994,232899,"1",20,232899,0,"2","0","0","0","",
21,232900,233613,"2",21,233613,0,"0","0","0","0","",
22,233614,236401,"3",22,236401,0,"0","0","0","0","",
23,236402,237082,"4",23,237082,0,"0","0","0","0","",
24,251555,256663,"1",24,256663,0,"2","0","0","0","",
25,256664,257345,"2",25,257345,0,"0","0","0","0","",
26,257346,260507,"3",26,260507,0,"0","0","0","0","",
27,260508,261154,"4",27,261154,0,"0","0","0","0","",
28,277144,282403,"1",28,282403,0,"2","0","0","0","",
29,282404,283151,"2",29,283151,0,"0","0","0","0","",
30,283152,286075,"3",30,286075,0,"0","0","0","0","",
31,286076,287776,"4",31,287776,0,"1","0","0","0","",
32,306252,311235,"1",32,311235,0,"2","0","0","0","",
33,311236,312119,"2",33,312119,0,"0","0","0","0","",
34,312120,314736,"3",34,314736,0,"0","0","0","0","",
35,314737,315282,"4",35,315282,0,"0","0","0","0","",
36,330897,336191,"1",36,336191,0,"1","0","0","0","",
37,336192,336973,"2",37,336973,0,"0","0","0","0","",
38,336974,339624,"3",38,339624,0,"0","0","0","0","",
39,339625,340238,"4",39,340238,0,"0","0","0","0","",
40,355022,360637,"1",40,360637,0,"1","0","0","0","",
41,360638,361520,"2",41,361520,0,"0","0","0","0","",
42,361521,364071,"3",42,364071,0,"0","0","0","0","",
43,364072,365160,"4",43,365160,0,"0","0","0","0","",
44,379880,385151,"1",44,385151,0,"2","0","0","0","",
45,385152,385899,"2",45,385899,0,"0","0","0","0","",
46,385900,388176,"3",46,385899,0,"0","0","0","0","",
47,388177,388722,"4",47,388722,0,"0","0","0","0","",
