phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,76795,80239,"1",0,80239,0,"2","","","","",
1,80240,80987,"2",1,80987,0,"0","","","","",
2,80988,80987,"3",2,80988,0,"0","","","","",
3,81024,84014,"4",3,84014,0,"0","","","","",
4,93798,98803,"1",4,98803,0,"3","","","","",
5,98804,99551,"2",5,99551,0,"1","","","","",
6,99552,100945,"3",6,100945,0,"0","","","","",
7,100946,102306,"4",7,102306,0,"1","","","","",
8,113042,118081,"1",8,118081,0,"1","","","","",
9,118082,118931,"2",9,118931,0,"0","","","","",
10,118932,119849,"3",10,119849,0,"0","","","","",
11,119850,121210,"4",11,121210,0,"1","","","","",
12,133997,138651,"1",12,138651,0,"1","","","","",
13,138652,139399,"2",13,139399,0,"0","","","","",
14,139400,140589,"3",14,140589,0,"0","","","","",
15,140590,141542,"4",15,141542,0,"1","","","","",
16,170232,178397,"1",,,,,,,,,
17,178398,179213,"2",,,,,,,,,
18,179214,180097,"3",,,,,,,,,
19,180098,182002,"4",,,,,,,,,
20,192555,197913,"1",,,,,,,,,
21,197914,198695,"2",,,,,,,,,
22,198696,199171,"3",,,,,,,,,
23,199172,201348,"4",,,,,,,,,
24,217512,222699,"1",,,,,,,,,
25,222700,223481,"2",,,,,,,,,
26,223482,223855,"3",,,,,,,,,
27,223856,226100,"4",,,,,,,,,
28,238500,244017,"1",,,,,,,,,
29,244018,244935,"2",,,,,,,,,
30,244936,245513,"3",,,,,,,,,
31,245514,247112,"4",,,,,,,,,
32,258288,263737,"1",,,,,,,,,
33,263738,264655,"2",,,,,,,,,
34,264656,264995,"3",,,,,,,,,
35,264996,269382,"4",,,,,,,,,
36,280643,285735,"1",,,,,,,,,
37,285736,286823,"2",,,,,,,,,
38,286824,287503,"3",,,,,,,,,
39,287504,289612,"4",,,,,,,,,
40,303679,309296,"1",,,,,,,,,
41,309297,309976,"2",,,,,,,,,
42,309977,310419,"3",,,,,,,,,
43,310420,312528,"4",,,,,,,,,
44,325955,331125,"1",,,,,,,,,
45,331126,331941,"2",,,,,,,,,
46,331942,332723,"3",,,,,,,,,
47,332724,334186,"4",,,,,,,,,
