trial,Condition,phase_name,familiarity,num_objs,line
1,C1,label,novel,1,1
1,C1,slide,novel,1,2
1,C1,planning,novel,1,3
1,C1,response,novel,1,4
2,C1,label,novel,2,5
2,C1,slide,novel,2,6
2,C1,planning,novel,2,7
2,C1,response,novel,2,8
3,C1,label,familiar,1,9
3,C1,slide,familiar,1,10
3,C1,planning,familiar,1,11
3,C1,response,familiar,1,12
4,C1,label,familiar,2,13
4,C1,slide,familiar,2,14
4,C1,planning,familiar,2,15
4,C1,response,familiar,2,16
5,C1,label,novel,1,17
5,C1,slide,novel,1,18
5,C1,planning,novel,1,19
5,C1,response,novel,1,20
6,C1,label,novel,2,21
6,C1,slide,novel,2,22
6,C1,planning,novel,2,23
6,C1,response,novel,2,24
7,C1,label,familiar,1,25
7,C1,slide,familiar,1,26
7,C1,planning,familiar,1,27
7,C1,response,familiar,1,28
8,C1,label,familiar,2,29
8,C1,slide,familiar,2,30
8,C1,planning,familiar,2,31
8,C1,response,familiar,2,32
9,C1,label,novel,1,33
9,C1,slide,novel,1,34
9,C1,planning,novel,1,35
9,C1,response,novel,1,36
10,C1,label,novel,2,37
10,C1,slide,novel,2,38
10,C1,planning,novel,2,39
10,C1,response,novel,2,40
11,C1,label,familiar,1,41
11,C1,slide,familiar,1,42
11,C1,planning,familiar,1,43
11,C1,response,familiar,1,44
12,C1,label,familiar,2,45
12,C1,slide,familiar,2,46
12,C1,planning,familiar,2,47
12,C1,response,familiar,2,48
1,C2,label,novel,1,1
1,C2,slide,novel,1,2
1,C2,planning,novel,1,3
1,C2,response,novel,1,4
2,C2,label,novel,2,5
2,C2,slide,novel,2,6
2,C2,planning,novel,2,7
2,C2,response,novel,2,8
3,C2,label,familiar,1,9
3,C2,slide,familiar,1,10
3,C2,planning,familiar,1,11
3,C2,response,familiar,1,12
4,C2,label,familiar,2,13
4,C2,slide,familiar,2,14
4,C2,planning,familiar,2,15
4,C2,response,familiar,2,16
5,C2,label,novel,1,17
5,C2,slide,novel,1,18
5,C2,planning,novel,1,19
5,C2,response,novel,1,20
6,C2,label,novel,2,21
6,C2,slide,novel,2,22
6,C2,planning,novel,2,23
6,C2,response,novel,2,24
