trial,Condition,phase_name,trial_type,line
1,C1,label,familiar,0
1,C1,slide,familiar,1
1,C1,planning,familiar,2
1,C1,response,familiar,3
2,C1,label,novel,4
2,C1,slide,novel,5
2,C1,planning,novel,6
2,C1,response,novel,7
3,C1,label,mutual,8
3,C1,slide,mutual,9
3,C1,planning,mutual,10
3,C1,response,mutual,11
4,C1,label,familiar,12
4,C1,slide,familiar,13
4,C1,planning,familiar,14
4,C1,response,familiar,15
5,C1,label,novel,16
5,C1,slide,novel,17
5,C1,planning,novel,18
5,C1,response,novel,19
6,C1,label,mutual,20
6,C1,slide,mutual,21
6,C1,planning,mutual,22
6,C1,response,mutual,23
7,C1,label,familiar,24
7,C1,slide,familiar,25
7,C1,planning,familiar,26
7,C1,response,familiar,27
8,C1,label,novel,28
8,C1,slide,novel,29
8,C1,planning,novel,30
8,C1,response,novel,31
9,C1,label,mutual,32
9,C1,slide,mutual,33
9,C1,planning,mutual,34
9,C1,response,mutual,35
10,C1,label,familiar,36
10,C1,slide,familiar,37
10,C1,planning,familiar,38
10,C1,response,familiar,39
11,C1,label,novel,40
11,C1,slide,novel,41
11,C1,planning,novel,42
11,C1,response,novel,43
12,C1,label,mutual,44
12,C1,slide,mutual,45
12,C1,planning,mutual,46
12,C1,response,mutual,47
1,C2,label,familiar,0
1,C2,slide,familiar,1
1,C2,planning,familiar,2
1,C2,response,familiar,3
2,C2,label,novel,4
2,C2,slide,novel,5
2,C2,planning,novel,6
2,C2,response,novel,7
3,C2,label,mutual,8
3,C2,slide,mutual,9
3,C2,planning,mutual,10
3,C2,response,mutual,11
4,C2,label,familiar,12
4,C2,slide,familiar,13
4,C2,planning,familiar,14
4,C2,response,familiar,15
5,C2,label,novel,16
5,C2,slide,novel,17
5,C2,planning,novel,18
5,C2,response,novel,19
6,C2,label,mutual,20
6,C2,slide,mutual,21
6,C2,planning,mutual,22
6,C2,response,mutual,23
7,C2,label,familiar,24
7,C2,slide,familiar,25
7,C2,planning,familiar,26
7,C2,response,familiar,27
8,C2,label,novel,28
8,C2,slide,novel,29
8,C2,planning,novel,30
8,C2,response,novel,31
9,C2,label,mutual,32
9,C2,slide,mutual,33
9,C2,planning,mutual,34
9,C2,response,mutual,35
10,C2,label,familiar,36
10,C2,slide,familiar,37
10,C2,planning,familiar,38
10,C2,response,familiar,39
11,C2,label,novel,40
11,C2,slide,novel,41
11,C2,planning,novel,42
11,C2,response,novel,43
12,C2,label,mutual,44
12,C2,slide,mutual,45
12,C2,planning,mutual,46
12,C2,response,mutual,47
1,C3,label,novel,0
1,C3,slide,novel,1
1,C3,planning,novel,2
1,C3,response,novel,3
2,C3,label,mutual,4
2,C3,slide,mutual,5
2,C3,planning,mutual,6
2,C3,response,mutual,7
3,C3,label,familiar,8
3,C3,slide,familiar,9
3,C3,planning,familiar,10
3,C3,response,familiar,11
4,C3,label,novel,12
4,C3,slide,novel,13
4,C3,planning,novel,14
4,C3,response,novel,15
5,C3,label,mutual,16
5,C3,slide,mutual,17
5,C3,planning,mutual,18
5,C3,response,mutual,19
6,C3,label,familiar,20
6,C3,slide,familiar,21
6,C3,planning,familiar,22
6,C3,response,familiar,23
7,C3,label,novel,24
7,C3,slide,novel,25
7,C3,planning,novel,26
7,C3,response,novel,27
8,C3,label,mutual,28
8,C3,slide,mutual,29
8,C3,planning,mutual,30
8,C3,response,mutual,31
9,C3,label,familiar,32
9,C3,slide,familiar,33
9,C3,planning,familiar,34
9,C3,response,familiar,35
10,C3,label,novel,36
10,C3,slide,novel,37
10,C3,planning,novel,38
10,C3,response,novel,39
11,C3,label,mutual,40
11,C3,slide,mutual,41
11,C3,planning,mutual,42
11,C3,response,mutual,43
12,C3,label,familiar,44
12,C3,slide,familiar,45
12,C3,planning,familiar,46
12,C3,response,familiar,47
1,C4,label,novel,0
1,C4,slide,novel,1
1,C4,planning,novel,2
1,C4,response,novel,3
2,C4,label,mutual,4
2,C4,slide,mutual,5
2,C4,planning,mutual,6
2,C4,response,mutual,7
3,C4,label,familiar,8
3,C4,slide,familiar,9
3,C4,planning,familiar,10
3,C4,response,familiar,11
4,C4,label,novel,12
4,C4,slide,novel,13
4,C4,planning,novel,14
4,C4,response,novel,15
5,C4,label,mutual,16
5,C4,slide,mutual,17
5,C4,planning,mutual,18
5,C4,response,mutual,19
6,C4,label,familiar,20
6,C4,slide,familiar,21
6,C4,planning,familiar,22
6,C4,response,familiar,23
7,C4,label,novel,24
7,C4,slide,novel,25
7,C4,planning,novel,26
7,C4,response,novel,27
8,C4,label,mutual,28
8,C4,slide,mutual,29
8,C4,planning,mutual,30
8,C4,response,mutual,31
9,C4,label,familiar,32
9,C4,slide,familiar,33
9,C4,planning,familiar,34
9,C4,response,familiar,35
10,C4,label,novel,36
10,C4,slide,novel,37
10,C4,planning,novel,38
10,C4,response,novel,39
11,C4,label,mutual,40
11,C4,slide,mutual,41
11,C4,planning,mutual,42
11,C4,response,mutual,43
12,C4,label,familiar,44
12,C4,slide,familiar,45
12,C4,planning,familiar,46
12,C4,response,familiar,47
