Phase,Predictor,Estimate,Std. Error,$t$ value,$p$ value,
Label,Intercept,1.40,0.06,22.70,$<$ .001,***
,Num objs (2),-0.07,0.06,-1.14,0.25,
,Fam (N),0.06,0.06,0.90,0.37,
,Age,0.01,0.00,1.88,0.06,.
,Num objs (2) * Fam (N),-0.07,0.09,-0.78,0.43,
,Num objs (2) * Age,-0.01,0.00,-1.37,0.17,
,Fam (N) * Age,-0.01,0.00,-1.10,0.27,
,Num objs (2) * Fam (N) * Age,0.00,0.01,-0.49,0.63,
Slide,Intercept,0.12,0.02,5.00,$<$ .001,***
,Num objs (2),0.02,0.03,0.54,0.59,
,Fam (N),0.04,0.03,1.38,0.17,
,Age,0.00,0.00,-0.44,0.66,
,Num objs (2) * Fam (N),-0.07,0.04,-1.69,0.09,.
,Num objs (2) * Age,0.00,0.00,0.21,0.83,
,Fam (N) * Age,0.00,0.00,-0.19,0.85,
,Num objs (2) * Fam (N) * Age,0.00,0.00,-0.82,0.41,
Planning,Intercept,0.04,0.02,1.48,0.14,
,Num objs (2),0.01,0.04,0.16,0.87,
,Fam (N),0.00,0.03,0.11,0.91,
,Age,0.00,0.00,-0.95,0.34,
,Num objs (2) * Fam (N),0.21,0.05,4.37,$<$ .001,***
,Num objs (2) * Age,0.00,0.00,0.54,0.59,
,Fam (N) * Age,0.00,0.00,0.73,0.47,
,Num objs (2) * Fam (N) * Age,0.01,0.00,1.40,0.16,
Response,Intercept,0.22,0.04,5.16,$<$ .001,***
,Num objs (2),0.06,0.06,0.96,0.34,
,Fam (N),0.02,0.05,0.34,0.73,
,Age,0.00,0.00,-0.22,0.83,
,Num objs (2) * Fam (N),0.60,0.08,7.97,$<$ .001,***
,Num objs (2) * Age,0.00,0.00,0.81,0.42,
,Fam (N) * Age,0.00,0.00,0.59,0.55,
,Num objs (2) * Fam (N) * Age,0.01,0.01,1.24,0.22,
