Phase,Predictor,Estimate,Std. Error,$t$ value,$p$ value,s
Label,Intercept,1.44,0.09,15.64,$<$ .001,***
,Trial Type (FF),0.07,0.08,0.93,0.35,
,Trial Type (NN),0.02,0.08,0.28,0.78,
,Age,0.03,0.01,1.97,0.05,.
,Gaze (Gaze),-0.04,0.13,-0.29,0.77,
,Trial Type (FF) * Age,-0,0.01,-0.19,0.85,
,Trial Type (NN) * Age,-0.01,0.01,-1.16,0.25,
,Trial Type (FF) * Gaze (Gaze),-0.03,0.11,-0.31,0.75,
,Trial Type (NN) * Gaze (Gaze),0,0.11,0.03,0.97,
,Age * Gaze (Gaze),-0.02,0.02,-1.16,0.25,
,Trial Type (FF) * Gaze (Gaze) * Age,0,0.02,0.11,0.91,
,Trial Type (NN) * Gaze (Gaze) * Age,0.02,0.02,1.26,0.21,
Slide,Intercept,0.05,0.03,1.81,0.07,.
,Trial Type (FF),0.09,0.03,2.68,0.01,**
,Trial Type (NN),0.07,0.03,1.99,0.05,*
,Age,-0.01,0,-1.51,0.13,
,Gaze (Gaze),0.08,0.04,1.84,0.07,.
,Trial Type (FF) * Age,0.01,0.01,1.69,0.09,.
,Trial Type (NN) * Age,0,0.01,0.15,0.88,
,Trial Type (FF) * Gaze (Gaze),-0.08,0.05,-1.67,0.1,.
,Trial Type (NN) * Gaze (Gaze),-0.09,0.05,-1.83,0.07,.
,Age * Gaze (Gaze),0,0.01,0.51,0.61,
,Trial Type (FF) * Gaze (Gaze) * Age,-0.01,0.01,-1,0.32,
,Trial Type (NN) * Gaze (Gaze) * Age,0,0.01,0.14,0.89,
Planning,Intercept,0.14,0.05,3.02,0,**
,Trial Type (FF),-0.11,0.06,-2,0.05,*
,Trial Type (NN),0.15,0.06,2.71,0.01,**
,Age,-0.01,0.01,-1.49,0.14,
,Gaze (Gaze),-0.12,0.07,-1.77,0.08,.
,Trial Type (FF) * Age,0.01,0.01,1.15,0.25,
,Trial Type (NN) * Age,0.01,0.01,1.64,0.1,
,Trial Type (FF) * Gaze (Gaze),0.11,0.08,1.43,0.15,
,Trial Type (NN) * Gaze (Gaze),-0.13,0.08,-1.67,0.1,.
,Age * Gaze (Gaze),0.01,0.01,0.84,0.4,
,Trial Type (FF) * Gaze (Gaze) * Age,-0.01,0.01,-0.49,0.63,
,Trial Type (NN) * Gaze (Gaze) * Age,-0.01,0.01,-0.96,0.34,
Response,Intercept,0.68,0.09,7.71,$<$ .001,***
,Trial Type (FF),-0.43,0.09,-4.64,$<$ .001,***
,Trial Type (NN),0.22,0.09,2.4,0.02,*
,Age,0.01,0.01,0.77,0.44,
,Gaze (Gaze),-0.28,0.12,-2.24,0.03,*
,Trial Type (FF) * Age,-0.01,0.02,-0.65,0.51,
,Trial Type (NN) * Age,0.01,0.02,0.43,0.67,
,Trial Type (FF) * Gaze (Gaze),0.34,0.13,2.64,0.01,**
,Trial Type (NN) * Gaze (Gaze),0.23,0.13,1.74,0.08,.
,Age * Gaze (Gaze),-0.04,0.02,-1.92,0.06,.
,Trial Type (FF) * Gaze (Gaze) * Age,0.03,0.02,1.47,0.14,
,Trial Type (NN) * Gaze (Gaze) * Age,-0,0.02,-0.18,0.85,
